temperature_f,pressure_psig
-50,-11.322
-45,-10.745
-40,-10.09
-35,-9.349
-30,-8.515
-25,-7.577
-20,-6.529
-15,-5.359
-10,-4.059
-5,-2.618
0,-1.026
5,0.729
10,2.657
15,4.77
20,7.081
25,9.602
30,12.344
35,15.322
40,18.548
45,22.035
50,25.798
55,29.851
60,34.206
65,38.879
70,43.885
75,49.236
80,54.948
85,61.037
90,67.516
95,74.4
100,81.704
105,89.444
110,97.634
115,106.289
120,115.423
125,125.053
130,135.191
135,145.853
140,157.054
145,168.808
150,181.129
