temperature_f,bubble_psig,dew_psig
-50,0.44,0
-48,1.31,0.73
-46,2.18,1.6
-44,3.05,2.47
-42,3.92,3.34
-40,4.93,4.35
-38,5.95,5.37
-36,6.96,6.24
-34,7.98,7.4
-32,9.14,8.56
-30,10.44,9.57
-28,11.6,10.73
-26,12.76,12.04
-24,14.07,13.34
-22,15.37,14.65
-20,16.82,15.95
-18,18.27,17.4
-16,19.73,18.85
-14,21.32,20.45
-12,22.92,22.05
-10,24.66,23.64
-8,26.25,25.24
-6,27.99,26.98
-4,29.88,28.86
-2,31.76,30.75
0,33.65,32.63
2,35.53,34.66
4,37.56,36.55
6,39.89,38.73
8,42.06,40.9
10,44.38,43.08
12,46.56,45.4
14,49.02,47.86
16,51.49,50.18
18,53.95,52.65
20,56.56,55.26
22,59.18,58.02
24,62.08,60.77
26,64.98,63.53
28,67.88,66.43
30,70.78,69.33
32,73.82,72.37
34,76.87,75.56
36,80.06,78.76
38,83.4,82.09
40,86.73,85.43
42,90.5,88.76
44,94.13,92.39
46,97.76,96.01
48,101.38,99.79
50,105.3,103.56
52,109.21,107.47
54,113.13,111.68
56,117.34,115.74
58,121.54,119.95
60,126.18,124.3
62,130.53,128.79
64,135.03,133.29
66,139.67,137.79
68,144.46,142.57
70,149.24,147.5
72,154.18,152.43
74,159.25,157.51
76,164.47,162.73
78,170.13,168.1
80,175.5,173.47
82,181.01,178.98
84,186.66,184.63
86,192.47,190.43
88,198.41,196.38
90,204.36,202.47
92,210.45,208.71
94,216.69,214.95
96,223.65,221.33
98,230.17,228
100,236.85,234.67
102,243.66,241.63
104,250.63,248.59
106,257.73,255.7
108,264.98,262.95
110,272.24,270.5
112,279.78,278.04
114,288.19,285.72
116,296.02,293.7
118,304,301.82
120,312.12,309.95
122,320.39,318.36
124,328.95,326.92
126,337.5,335.62
128,346.35,344.46
130,355.34,353.6
132,365.21,362.88
134,374.63,372.31
136,384.06,382.03
138,393.78,391.75
140,403.79,401.75
142,413.79,412.05
144,424.09,422.49
146,434.53,433.23
148,445.27,443.96
150,457.3,455.27
