temperature_f,pressure_psig
-50,-6.925
-45,-6.876
-40,-6.827
-35,-6.778
-30,-6.68
-25,-6.532
-20,-6.385
-15,-6.287
-10,-6.09
-5,-5.943
0,-5.796
5,-5.501
10,-5.304
15,-4.961
20,-4.715
25,-4.371
30,-3.929
35,-3.487
40,-3.045
45,-2.554
50,-1.965
55,-1.424
60,-0.688
65,0.0
70,1.7
75,3.3
80,5.2
85,7.3
90,9.6
95,11.9
100,14.4
105,17.1
110,20.0
115,23.1
120,26.4
125,30.0
130,33.8
135,37.8
140,42.0
145,46.5
150,51.2
