temperature_f,pressure_psig
-50,-11.629
-45,-11.143
-40,-10.596
-35,-9.983
-30,-9.298
-25,-8.535
-20,-7.687
-15,-6.748
-10,-5.712
-5,-4.57
0,-3.317
5,-1.944
10,-0.443
15,1.193
20,2.973
25,4.904
30,6.996
35,9.257
40,11.697
45,14.323
50,17.146
55,20.174
60,23.417
65,26.885
70,30.587
75,34.533
80,38.732
85,43.195
90,47.931
95,52.949
100,58.261
105,63.875
110,69.802
115,76.051
120,82.632
125,89.556
130,96.831
135,104.468
140,112.475
145,120.863
150,129.641
