temperature_f,pressure_psig
-50,-7.913
-45,-6.888
-40,-5.742
-35,-4.465
-30,-3.046
-25,-1.475
-20,0.26
-15,2.171
-10,4.27
-5,6.568
0,9.08
5,11.818
10,14.795
15,18.026
20,21.523
25,25.302
30,29.377
35,33.763
40,38.473
45,43.524
50,48.931
55,54.708
60,60.871
65,67.436
70,74.418
75,81.833
80,89.695
85,98.021
90,106.827
95,116.127
100,125.938
105,136.274
110,147.15
115,158.583
120,170.586
125,183.175
130,196.365
135,210.17
140,224.605
145,239.683
150,255.419
