temperature_f,pressure_psig
-50,-10.824
-45,-10.177
-40,-9.443
-35,-8.615
-30,-7.684
-25,-6.641
-20,-5.476
-15,-4.179
-10,-2.74
-5,-1.147
0,0.61
5,2.544
10,4.666
15,6.988
20,9.525
25,12.289
30,15.293
35,18.552
40,22.079
45,25.889
50,29.997
55,34.416
60,39.164
65,44.254
70,49.702
75,55.523
80,61.735
85,68.351
90,75.388
95,82.863
100,90.791
105,99.187
110,108.069
115,117.452
120,127.353
125,137.786
130,148.769
135,160.316
140,172.444
145,185.169
150,198.505
