temperature_f,pressure_psig
-50,103.208
-45,116.352
-40,130.586
-35,145.966
-30,162.55
-25,180.395
-20,199.558
-15,220.097
-10,242.07
-5,265.537
0,290.554
5,317.181
10,345.475
15,375.495
20,407.298
25,440.941
30,476.482
35,513.975
40,553.477
45,595.043
50,638.727
55,684.582
60,732.661
65,783.015
70,835.696
75,890.752
80,948.233
85,1008.186
