temperature_f,pressure_psig
-50,-13.206
-45,-12.921
-40,-12.592
-35,-12.214
-30,-11.782
-25,-11.29
-20,-10.732
-15,-10.1
-10,-9.389
-5,-8.592
0,-7.699
5,-6.704
10,-5.597
15,-4.371
20,-3.016
25,-1.522
30,0.12
35,1.92
40,3.89
45,6.038
50,8.378
55,10.92
60,13.675
65,16.656
70,19.875
75,23.344
80,27.075
85,31.081
90,35.376
95,39.972
100,44.883
105,50.121
110,55.701
115,61.636
120,67.939
125,74.624
130,81.705
135,89.195
140,97.11
145,105.461
150,114.263
