temperature_f,bubble_psig,dew_psig
-50,0.44,-3.63
-48,1.16,-2.9
-46,2.03,-2.32
-44,3.05,-1.6
-42,3.92,-0.87
-40,4.93,0
-38,5.95,0.73
-36,6.96,1.6
-34,8.12,2.47
-32,9.14,3.48
-30,10.44,4.35
-28,11.6,5.37
-26,12.91,6.38
-24,14.21,7.54
-22,15.52,8.7
-20,16.97,9.86
-18,18.42,11.02
-16,20.02,12.33
-14,21.61,13.63
-12,23.21,14.94
-10,24.95,16.39
-8,26.69,17.84
-6,28.43,19.44
-4,30.31,21.03
-2,32.2,22.63
0,34.23,24.22
2,36.26,25.96
4,38.29,27.85
6,40.47,29.73
8,42.79,31.62
10,45.11,33.65
12,47.43,35.68
14,49.89,37.85
16,52.5,40.03
18,55.11,42.21
20,57.73,44.53
22,60.48,46.99
24,63.38,49.46
26,66.28,51.92
28,69.33,54.68
30,72.37,57.29
32,75.56,60.05
34,78.76,62.95
36,82.09,65.99
38,85.57,68.89
40,89.05,72.08
42,92.68,75.27
44,96.31,78.61
46,100.08,81.95
48,103.99,85.43
50,108.05,89.05
52,112.11,92.68
54,116.32,96.45
56,120.53,100.37
58,124.88,104.28
60,129.37,108.34
62,134.01,112.55
64,138.66,116.76
66,143.59,121.25
68,148.52,125.75
70,153.45,130.39
72,158.67,135.03
74,163.89,139.96
76,169.26,144.89
78,174.77,149.97
80,180.43,155.19
82,186.23,160.41
84,192.03,165.92
86,198.12,171.43
88,204.21,177.24
90,210.45,183.04
92,216.83,188.98
94,223.36,195.08
96,230.03,201.31
98,236.85,207.84
100,243.66,214.37
102,250.77,221.04
104,258.02,227.85
106,265.27,234.82
108,272.82,241.92
110,280.5,249.17
112,288.19,256.72
114,296.17,264.26
116,304.29,272.09
118,312.56,279.92
120,320.97,288.04
122,329.53,296.31
124,338.23,304.87
126,347.08,313.43
128,356.07,322.27
130,365.21,331.27
132,374.63,340.55
134,384.2,349.98
136,393.92,359.55
138,403.79,369.27
140,413.79,379.27
142,423.95,389.57
144,434.39,400.01
146,444.98,410.6
148,455.71,421.48
150,466.73,432.65
