temperature_f,bubble_psig,dew_psig
-50,-1.31,-5.37
-48,-0.58,-4.79
-46,0.15,-4.21
-44,1.02,-3.63
-42,1.89,-2.9
-40,2.76,-2.32
-38,3.77,-1.6
-36,4.64,-0.87
-34,5.66,0
-32,6.67,0.87
-30,7.69,1.6
-28,8.85,2.47
-26,10.01,3.34
-24,11.17,4.35
-22,12.47,5.37
-20,13.63,6.53
-18,15.08,7.54
-16,16.53,8.7
-14,17.84,9.86
-12,19.44,11.17
-10,20.89,12.33
-8,22.48,13.63
-6,24.22,14.94
-4,25.96,16.39
-2,27.7,17.84
0,29.44,19.44
2,31.47,21.03
4,33.36,22.63
6,35.24,24.37
8,37.42,26.11
10,39.45,27.85
12,41.77,29.73
14,43.95,31.76
16,46.27,33.65
18,48.73,35.68
20,51.2,37.85
22,53.81,40.18
24,56.42,42.35
26,59.18,44.67
28,61.93,47.14
30,64.69,49.6
32,67.73,52.07
34,70.78,54.82
36,73.82,57.58
38,77.02,60.34
40,80.21,63.24
42,83.69,66.14
44,87.02,69.18
46,90.65,72.37
48,94.27,75.56
50,97.9,78.76
52,101.67,82.24
54,105.59,85.72
56,109.65,89.34
58,113.71,92.97
60,117.92,96.89
62,122.27,100.66
64,126.76,104.72
66,131.26,108.78
68,135.9,112.98
70,140.54,117.34
72,145.47,121.69
74,150.4,126.18
76,155.48,130.97
78,160.56,135.61
80,165.78,140.54
82,171.29,145.47
84,176.8,150.69
86,182.46,155.92
88,188.26,161.28
90,194.21,166.79
92,200.15,172.3
94,206.39,178.11
96,212.63,184.05
98,219.01,190
100,225.53,196.09
102,232.21,202.47
104,239.02,209
106,245.98,215.53
108,253.09,222.2
110,260.34,229.01
112,267.74,236.12
114,275.14,243.37
116,282.82,250.63
118,290.66,258.17
120,298.63,265.85
122,306.75,273.69
124,315.02,281.66
126,323.43,289.93
128,332.14,298.2
130,340.84,306.61
132,349.83,315.46
134,358.82,324.3
136,368.11,333.44
138,377.53,342.72
140,387.11,352.15
142,396.82,361.72
144,406.69,371.73
146,416.84,381.74
148,427.14,392.04
150,437.58,402.62
