temperature_f,bubble_psig,dew_psig
-50,0.44,-4.35
-48,0.44,-3.77
-46,1.16,-3.19
-44,2.03,-2.47
-42,3.05,-1.74
-40,3.92,-1.02
-38,4.93,-0.15
-36,5.95,0.58
-34,6.96,1.45
-32,8.12,2.32
-30,9.14,3.34
-28,10.44,4.21
-26,11.6,5.22
-24,12.91,6.24
-22,14.21,7.4
-20,15.66,8.56
-18,16.97,9.72
-16,18.56,10.88
-14,20.02,12.18
-12,21.61,13.49
-10,23.21,14.94
-8,24.95,16.24
-6,26.54,17.84
-4,28.43,19.29
-2,30.31,20.89
0,32.2,22.48
2,34.23,24.22
4,36.26,25.96
6,38.44,27.85
8,40.61,29.73
10,42.79,31.62
12,45.11,33.65
14,47.57,35.68
16,50.04,37.85
18,52.5,40.03
20,55.11,42.35
22,57.87,44.67
24,60.63,47.14
26,63.38,49.6
28,66.28,52.21
30,69.33,54.82
32,72.37,57.58
34,75.56,60.48
36,78.76,63.38
38,82.24,66.28
40,85.57,69.47
42,89.05,72.52
44,92.82,75.85
46,96.6,79.19
48,100.37,82.67
50,104.28,86.15
52,108.2,89.78
54,112.26,93.4
56,116.47,97.32
58,120.82,101.24
60,125.17,105.3
62,129.66,109.36
64,134.3,113.56
66,139.09,117.92
68,143.88,122.41
70,148.81,127.05
72,153.89,131.69
74,159.11,136.48
76,164.47,141.41
78,169.84,146.49
80,175.35,151.71
82,181.01,156.93
84,186.81,162.3
86,192.61,167.81
88,198.7,173.61
90,204.79,179.41
92,211.17,185.36
94,217.7,191.45
96,224.23,197.69
98,230.9,203.92
100,237.72,210.45
102,244.68,217.12
104,251.79,223.94
106,259.04,230.9
108,266.43,238.01
110,273.98,245.26
112,281.66,252.8
114,289.64,260.2
116,297.62,268.03
118,305.74,276.01
120,314.15,284.13
122,322.42,292.4
124,331.12,300.81
126,339.97,309.37
128,348.96,318.21
130,357.95,327.21
132,367.24,336.34
134,376.81,345.77
136,386.38,355.34
138,396.24,365.21
140,406.25,375.21
142,416.4,385.37
144,426.85,395.81
146,437.29,406.4
148,448.17,417.27
150,459.04,428.44
