temperature_f,bubble_psig,dew_psig
-50,1.0,-0.786
-45,3.2,0.3
-40,5.7,2.4
-35,8.3,4.7
-30,11.3,7.3
-25,14.6,10.1
-20,18.1,13.2
-15,22.0,16.7
-10,26.2,20.4
-5,30.8,24.5
0,35.7,28.9
5,41.1,33.7
10,46.9,38.8
15,53.1,44.4
20,59.8,50.5
25,66.9,57.0
30,74.6,64.0
35,82.8,71.4
40,91.5,79.4
45,100.9,88.0
50,110.8,97.1
55,121.3,106.9
60,132.4,117.3
65,144.3,128.3
70,156.8,140.0
75,170.0,152.4
80,183.9,165.6
85,198.6,179.5
90,214.1,194.3
95,230.4,209.9
100,247.6,226.4
105,265.6,243.7
110,284.5,262.1
115,304.3,281.4
120,325.1,301.8
125,346.8,323.3
130,369.6,345.9
135,393.4,369.8
140,418.3,395.0
145,444.2,421.6
150,471.3,449.8
